,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
0,post1950/fiction_mem/alexeev_g/zel_bereg,Геннадий Алексеев,муж,1932,Зеленые берега,1983-1984,художественная,нежанровая проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,Г. Алексеев. Зеленые берега. ― Л.: 1990 - http://orel.rsl.ru,Г. Алексеев. Зеленые берега,,1990.0,книга,ПК письменных текстов,none,92249
1,post1950/fiction_mem/chakovsky/blokada,Александр Чаковский,муж,1913,Блокада,1968,художественная,нежанровая проза,роман,,Россия/СССР: 1941-1945,нейтральный,н-возраст,н-уровень,большая,"Чаковский А. Блокада. Кн. 1. М.: «Советский писатель», 1978",Чаковский А. Блокада. Кн. 1,«Советский писатель»,1978.0,книга,ПК письменных текстов,none,98488
2,post1950/fiction_mem/chukovskaya_lk/procherk,Л. К. Чуковская,жен,1907,Прочерк,1980-1994,художественная,документальная проза,повесть,,Россия/СССР: 1930-е,нейтральный,н-возраст,н-уровень,большая,"Лидия Чуковская. Прочерк. М.: «Время», 2009 http://www.modernlib.ru/books/",Лидия Чуковская. Прочерк,«Время»,2009.0,книга,ПК письменных текстов,none,99035
3,post1950/fiction_mem/divov/front,Олег Дивов,муж,1968,Молодые и сильные выживут,1998,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Олег Дивов. Молодые и сильные выживут. ― М.: ЭКСМО, 1998",Олег Дивов. Молодые и сильные выживут,ЭКСМО,1998.0,книга,ПК письменных текстов,none,96628
4,post1950/fiction_mem/dyachenko/magi,Марина Дяченко|Сергей Дяченко,жен|муж,1968|1945,Магам можно все,2001,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,очень большая,Марина и Сергей Дяченко. Привратник /http://www.rusf.ru,Марина и Сергей Дяченко. Привратник,,,книга,ПК письменных текстов,none,92821
5,post1950/fiction_mem/gumilevsky/sudba,Лев Гумилевский,муж,1890,Судьба и жизнь,1969,публицистика | нехудожественная,,мемуары,,Россия: 1-я пол. XX в.|Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"«Волга», №№7-12, 1988",«Волга»,,1988.0,журнал,ПК письменных текстов,none,90417
6,post1950/fiction_mem/lukjanenko/dozor,Сергей Лукьяненко,муж,1968,Ночной дозор,1998,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,очень большая,http://rusf.ru,,,,книга,ПК письменных текстов,none,97895
7,post1950/fiction_mem/masslit/badigin_sekret,К. С. Бадигин,муж,1910,Секрет государственной важности,1974,художественная,приключения,роман,,Дальний Восток: 1-я пол. XX в,нейтральный,подростковый,н-уровень,большая,Константин Бадигин. Секрет государственной важности. http://thelib.ru/books/badigin_konstantin_sergeevich/sekret_gosudarstvennoy_vazhnosti.html,Константин Бадигин. Секрет государственной важности,«Детская литература»,1974.0,книга,ПК письменных текстов,none,98676
8,post1950/fiction_mem/oseeva/dinka2,Валентина Осеева,жен,1902,Динка прощается с детством,1969,художественная,детская,роман,,Россия: 1914-1920,нейтральный,подростковый,н-уровень,очень большая,"Валентина Осеева. Динка прощается с детством. ― М.: Эксмо, 2003",Валентина Осеева. Динка прощается с детством,ЭКСМО,2003.0,книга,ПК письменных текстов,none,93723
9,post1950/fiction_mem/osipov/foma2,Сергей Осипов,муж,,Страсти по Фоме. Книга вторая. Примус интер парэс,1998,художественная,нежанровая проза,роман,,Россия: постсоветский период|ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Сергей Осипов. Страсти по Фоме. М.: Вагриус, 2003",Сергей Осипов. Страсти по Фоме,Вагриус,2003.0,книга,ПК письменных текстов,none,97053
10,post1950/fiction_mem/semenova/znamenie,Мария Семенова,жен,1958,Волкодав: Знамение пути,2003,художественная,нежанровая проза,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"М. Семенова. Волкодав: Знамение пути. СПб: Азбука-классика, 2003",М. Семенова. Волкодав: Знамение пути,Азбука-классика,2003.0,книга,ПК письменных текстов,none,95989
11,post1950/fiction_mem/sirkes/ischod,Павел Сиркес,муж,1932,Труба исхода,1990-1999,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"файл, предоставленный автором",,,,электронный текст,ПК письменных текстов,none,96867
12,post1950/fiction_mem/vojnovich/moskva2042,Владимир Войнович,муж,1932,Москва 2042,1986,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Войнович В. Москва 2042. М.: «Вся Москва», 1990",Войнович В. Москва 2042,«Вся Москва»,1990.0,книга,ПК письменных текстов,none,96891
13,post1950/minor_publ/eksmo/berseneva/polet,Анна Берсенева,жен,,Полет над разлукой,2003-2005,художественная,любовная история,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,очень большая,"Анна Берсенева. Полет над разлукой. - М.: Эксмо, 2005",Анна Берсенева. Полет над разлукой,ЭКСМО,2005.0,книга,ПК письменных текстов,none,93219
14,post1950/minor_publ/eksmo/berseneva/vozrast,Анна Берсенева,жен,,Возраст третьей любви,2005,художественная,любовная история,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,очень большая,"Анна Берсенева. Возраст третьей любви. - М.: Эксмо, 2005",Анна Берсенева. Возраст третьей любви,ЭКСМО,2005.0,книга,ПК письменных текстов,none,96756
15,post1950/minor_publ/eksmo/ustinova/pakosti,Татьяна Устинова,жен,1968,Большое зло и мелкие пакости,2003,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,очень большая,"Татьяна Устинова. Большое зло мелкие пакости. - М.: Эксмо, 2003",Татьяна Устинова. Большое зло мелкие пакости,ЭКСМО,2003.0,книга,ПК письменных текстов,none,90574
16,post1950/nauka/history/bazarova,Т. А. Базарова,жен,1969,План петровского Петербурга. Источниковедческое исследование,2003,учебно-научная | нехудожественная,,монография,наука и технологии|история|строительство и архитектура,,специальный,н-возраст,высокий,средняя,"Базарова Т. А. План петровского Петербурга. Источниковедческое исследование. — СПб.: «Наука», 2003","Базарова Т. А. План петровского Петербурга. Источниковедческое исследование. — СПб.: «Наука», 2003",СПб.: Наука,2003.0,книга,ПК письменных текстов,none,94318
17,post1950/vagr/masslit/bakonina/9grammov,Марианна Баконина,жен,1964,Девять граммов пластита,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Марианна Баконина. Девять граммов пластита.― М.: Вагриус, 2000",Марианна Баконина. Девять граммов пластита,Вагриус,2000.0,книга,ПК письменных текстов,none,91273
18,post1950/vagr/masslit/bakonina/dvojniki,Марианна Баконина,жен,1964,Школа двойников,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Марианна Баконина.Школа двойников. ― М.: Вагриус, 2000",Марианна Баконина.Школа двойников,Вагриус,2000.0,книга,ПК письменных текстов,none,90487
19,post1950/vagr/masslit/grachev/order,Алексей Грачев,муж,,Ярый-3. Ордер на смерть,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Алексей Грачев. Ярый-3. Ордер на смерть. М.: Вагриус, 2000",Алексей Грачев. Ярый-3. Ордер на смерть,Вагриус,2000.0,книга,ПК письменных текстов,none,97465
20,post1950/vagr/masslit/grachev/videopiraty,Алексей Грачев,муж,,Ярый против видеопиратов,1999,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Алексей Грачев. Ярый против видеопиратов. М.: Вагриус, 1999",Алексей Грачев. Ярый против видеопиратов,Вагриус,1999.0,книга,ПК письменных текстов,none,91339
21,post1950/vagr/masslit/gromov/kompromat,Вадим Громов,муж,,Компромат для олигарха,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Вадим Громов. Компромат для олигарха. М.: Вагриус, 2000",Вадим Громов. Компромат для олигарха,Вагриус,2000.0,книга,ПК письменных текстов,none,93377
22,post1950/vagr/masslit/izmailov/trukach,Андрей Измайлов,муж,1953,Трюкач,2001,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Андрей Измайлов. Трюкач. М.: Вагриус, 2001",Андрей Измайлов. Трюкач,Вагриус,2001.0,книга,ПК письменных текстов,none,98469
23,post1950/vagr/masslit/korneshov/gazeta,Лев Корнешов,муж,1924,Газета,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Лев Корнешов. Газета. М.: Вагриус, 2000",Лев Корнешов. Газета,Вагриус,2000.0,книга,ПК письменных текстов,none,91893
24,post1950/vagr/masslit/kozyreva/oxota,Елизавета Козырева,жен,,Дамская охота,2001,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Елизавета Козырева. Дамская охота. М.: Вагриус, 2001",Елизавета Козырева. Дамская охота,Вагриус,2001.0,книга,ПК письменных текстов,none,92568
25,post1950/vagr/masslit/levashov/zagovor,Виктор Левашов,муж,,Заговор патриота,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Виктор Левашов. Заговор патриота. М.: Вагриус, 2000",Виктор Левашов. Заговор патриота,Вагриус,2000.0,книга,ПК письменных текстов,none,98800
26,post1950/vagr/masslit/nekrasova/poslednij,Ольга Некрасова,жен,1956,Платит последний,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Ольга Некрасова. Платит последний. М.: Вагриус, 2000",Ольга Некрасова. Платит последний,Вагриус,2000.0,книга,ПК письменных текстов,none,96718
27,post1950/vagr/masslit/troickij/udar,Андрей Троицкий,муж,1961,Удар из прошлого,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Андрей Троицкий. Удар из прошлого. М.: Вагриус, 2000",Андрей Троицкий. Удар из прошлого,Вагриус,2000.0,книга,ПК письменных текстов,none,99252
28,post1950/vagr/mem/grinevsky/xrushchev,Олег Гриневский,муж,1930,Тысяча и один день Никиты Сергеевича,1997,публицистика | нехудожественная,,мемуары,,Россия/СССР: 1960-1980-е,нейтральный,н-возраст,н-уровень,большая,"Олег Гриневский. Восток ― дело тонкое. М.: Вагриус, 1998",Олег Гриневский. Тысяча и один день Никиты Сергеевича,Вагриус,1998.0,книга,ПК письменных текстов,none,91448
29,post1950/vagr/mem/senkevich/travel,Юрий Сенкевич,муж,1937,Путешествие длиною в жизнь,1999,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Юрий Сенкевич. Путешествие длиною в жизнь. М.: Вагриус, 1999",Юрий Сенкевич. Путешествие длиною в жизнь,Вагриус,1999.0,книга,ПК письменных текстов,none,98727
30,post1950/vagr/nd/feoktistov/traekt,Константин Феоктистов,муж,1926,Траектория жизни,2000,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Константин Феоктистов. Траектория жизни. М.: Вагриус, 2000",К. Феоктистов. Траектория жизни,Вагриус,2000.0,книга,ПК письменных текстов,none,93260
31,post1950/vagr/nd/lungin/viden,Семен Лунгин,муж,1920,Виденное наяву,1989-1996,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Семен Лунгин. Виденное наяву. М.: Вагриус, 2000",С. Лунгин. Виденное наяву,Вагриус,2000.0,книга,ПК письменных текстов,none,96297
32,post1950/vagr/nd/naxapetov/vlyubl,Родион Нахапетов,муж,1944,Влюбленный,1998,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период|Америка: современность,нейтральный,н-возраст,н-уровень,большая,"Родион Нахапетов. Влюбленный. М.: Вагриус, 1998",Р. Нахапетов. Влюбленный,Вагриус,1998.0,книга,ПК письменных текстов,none,95190
33,post1950/vagr/nd/vertinskaya/sin_ptica,Лидия Вертинская,жен,1923,Синяя птица любви,2004,публицистика | нехудожественная,,мемуары,,Дальний Восток: 1-я пол. XX в.|Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Лидия Вертинская. Синяя птица любви. М.: Вагриус, 2004",Лидия Вертинская. Синяя птица любви,Вагриус,2004.0,книга,ПК письменных текстов,none,98873
34,post1950/vagr/vagr1/pelevin/pelev1_01,Виктор Пелевин,муж,1962,Чапаев и пустота,1996,художественная,нежанровая проза,роман,,Россия: 1914-1920|ирреальный мир,сниженный,н-возраст,н-уровень,большая,"Виктор Пелевин. Собрание сочинений в 3 т. Т. 1. М.: Вагриус, 2001",Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 1,Вагриус,2001.0,книга,ПК письменных текстов,none,91286
35,post1950/vagr/vagr1/vasilyev/oleg,Борис Васильев,муж,1924,Вещий Олег,1996,художественная,историческая проза,роман,,Россия: Средние века,нейтральный,н-возраст,н-уровень,большая,"Борис Васильев. Вещий Олег. М.: Вагриус, 2002",Борис Васильев. Вещий Олег,Вагриус,2002.0,книга,ПК письменных текстов,none,93731
36,post1950/vagr/vagr1/vasilyev/vsl_tom5,Борис Васильев,муж,1924,"Дом, который построил Дед",1990-2000,художественная,нежанровая проза,роман,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"Васильев Б. Дом, который построил Дед. ― М.: Вагриус, 2005","Васильев Б. Дом, который построил Дед",Вагриус,2005.0,книга,ПК письменных текстов,none,96626
37,post1950/vagr/vagr4/dzhin/uchitel,Нодар Джин,муж,1947,Учитель,1980-1998,художественная,нежанровая проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Джин Н. Учитель. ― М.: Вагриус, 1998",Джин Н. Учитель. ― М.: Вагриус,Вагриус,1998.0,книга,ПК письменных текстов,none,91136
38,post1950/vagr/vagr4/naiman/slavco01,Анатолий Найман,муж,1936,Славный конец бесславных поколений,1994,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Найман А. Славный конец бесславных поколений. ― М.: Вагриус, 1999",Найман А. Славный конец бесславных поколений,Вагриус,1999.0,книга,ПК письменных текстов,none,90146
39,post1950/vagr/vagr7/danilyuk/rubleva_zona,Семен Данилюк,муж,1951,Рублевая зона,2004,художественная,нежанровая проза,роман,,Россия: постсоветский период,сниженный,н-возраст,н-уровень,большая,"Семен Данилюк. Рублевая зона. - М.: Вагриус, 2004",Семен Данилюк. Рублевая зона,Вагриус,2004.0,книга,ПК письменных текстов,none,90286
40,post1950/vagr/vagr7/ratushinskaja/odessity,Ирина Ратушинская,жен,1954,Одесситы,1998,художественная,нежанровая проза,роман,,Россия: 1900-1914,нейтральный,н-возраст,н-уровень,большая,"Ирина Ратушинская. Одесситы. - М.: Вагриус, 1998",Ирина Ратушинская. Одесситы,Вагриус,1998.0,книга,ПК письменных текстов,none,94335
41,post1950/vagr/vagr7/trojanovskij/gody,Олег Трояновский,муж,1919,Через годы и расстояния,1997,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Олег Трояновский. Через годы и расстояния. - М.: Вагриус, 1997",Олег Трояновский. Через годы и расстояния,Вагриус,1997.0,книга,ПК письменных текстов,none,97415
42,post1950/zakharov/xx/aleshin/alesh,Самуил Алешин,муж,1913,Встречи на грешной земле,2001,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Самуил Алешин. Встречи на грешной земле. М.: Захаров, 2001",Самуил Алешин. Встречи на грешной земле,Захаров,2001.0,книга,ПК письменных текстов,none,98507
43,post1950/zakharov/xx/kuznetsov/bab_jar,Анатолий Кузнецов,муж,1929,Бабий яр,1965-1970,художественная,нежанровая проза,роман,,Россия/СССР: 1941-1945,нейтральный,н-возраст,н-уровень,большая,"Анатолий Кузнецов. Бабий яр. М.: Захаров, 2001",Анатолий Кузнецов. Бабий яр,Захаров,2001.0,книга,ПК письменных текстов,none,97436
