,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
130,post1950/vagr/vagr4/makanin/andegrau,Владимир Маканин,муж,1937,"Андеграунд, или герой нашего времени",1996-1997,художественная,нежанровая проза,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Маканин В. Андеграунд, или герой нашего времени. ― М.: Вагриус, 1999","Маканин В. Андеграунд, или герой нашего времени",Вагриус,1999.0,книга,ПК письменных текстов,none,158165
131,post1950/vagr/vagr4/slavnikova/strekoza,Ольга Славникова,жен,1957,"Стрекоза, увеличенная до размеров собаки",1995-1999,художественная,нежанровая проза,роман,,Россия/СССР: советский период|ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Славникова О. Стрекоза, увеличенная до размеров собаки. ― М.: Вагриус, 1999","Славникова О. Стрекоза, увеличенная до размеров собаки",Вагриус,1999.0,книга,ПК письменных текстов,none,148189
132,post1950/vagr/vagr4/smexov/teatr,Вениамин Смехов,муж,1940,Театр моей памяти,2001,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Вениамин Смехов. Театр моей памяти. «Вагриус», 2001",Вениамин Смехов. Театр моей памяти,Вагриус,2001.0,книга,ПК письменных текстов,none,127718
133,post1950/vagr/vagr4/utesov/serdce,Леонид Утесов,муж,1895,"«Спасибо, сердце!»",1982,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период|Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Леонид Утёсов. Спасибо, сердце! ― М.: «Вагриус», 1999","Леонид Утёсов. Спасибо, сердце!",Вагриус,1999.0,книга,ПК письменных текстов,none,100862
134,post1950/vagr/vagr4/xrushchev/vospom,Никита Хрущев,муж,1894,Воспоминания,1971,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Никита Хрущев. Воспоминания. ― М.: «Вагриус», 1998",Никита Хрущев. Воспоминания,Вагриус,1998.0,книга,ПК письменных текстов,none,187946
135,post1950/vagr/vagr5/arxangelsk/alexi_01,Александр Архангельский,муж,1962,Александр I,2000,публицистика | нехудожественная,,монография,наука и технологии|история,Россия: XVIII век,нейтральный,н-возраст,н-уровень,большая,"Архангельский А. Александр I. - М.: Вагриус, 2000",Александр Архангельский «Александр I»,Вагриус,2000.0,книга,ПК письменных текстов,none,134999
136,post1950/vagr/vagr5/babajan_serg/rotmistr,Сергей Бабаян,муж,1958,Ротмистр Неженцев,1995-1996,художественная,историческая проза,роман,,Россия: 1914-1920,нейтральный,н-возраст,н-уровень,большая,"Бабаян С. Ротмистр Неженцев. ― М.: Вагриус, 2004",Сергей Бабаян «Ротмистр Неженцев»,Вагриус,2004.0,книга,ПК письменных текстов,none,151161
137,post1950/vagr/vagr5/bezelansk/vsadax,Юрий Безелянский,муж,1932,В садах любви,1993,публицистика | нехудожественная,,эссе,частная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Юрий Безелянский «В садах любви. Хроника встреч и разлук». ― М.: Вагриус, 2002",Юрий Безелянский «В садах любви. Хроника встреч и разлук»,Вагриус,2002.0,книга,ПК письменных текстов,none,133486
138,post1950/vagr/vagr6/jakovlev/omut1,Александр Яковлев,муж,1923,Омут памяти. Т.1,2001,публицистика | нехудожественная,,монография,политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Александр Яковлев. Омут памяти. В 2-х томах. Т.1. М.: Вагриус, 2001",Александр Яковлев. Омут памяти. В 2-х томах. Т.1,Вагриус,2001.0,книга,ПК письменных текстов,none,178666
139,post1950/vagr/vagr6/jakovlev/omut2,Александр Яковлев,муж,1923,Омут памяти. Т.2,2001,публицистика | нехудожественная,,монография,политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Александр Яковлев. Омут памяти. В 2-х томах. Т.2. М.: Вагриус, 2001",Александр Яковлев. Омут памяти. В 2-х томах. Т.2,Вагриус,2001.0,книга,ПК письменных текстов,none,131997
140,post1950/vagr/vagr6/samoilov/pam_zap,Давид Самойлов,муж,1920,Общий дневник,1977-1989,публицистика | нехудожественная,,"дневник, записные книжки",,Россия/СССР: 1960-1980-е|Россия/СССР: перестройка,нейтральный,н-возраст,н-уровень,большая,"Давид Самойлов. «Перебирая наши даты...». М.: Вагриус, 2001",Давид Самойлов. «Перебирая наши даты...»,Вагриус,2001.0,книга,ПК письменных текстов,none,125948
