,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
12,post1950/fiction_mem/marinina/lik,Александра Маринина,жен,1957.0,Светлый лик смерти,1996,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Александра Маринина. Светлый лик смерти. М.: ЭКСМО, 2004",Александра Маринина. Светлый лик смерти,ЭКСМО,2004.0,книга,ПК письменных текстов,none,80584
13,post1950/fiction_mem/panova/panova2-01,В. Ф. Панова,жен,1905.0,Времена года. Из летописей города Энска,1953,художественная,нежанровая проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Панова В. Ф. Собр. соч.: В 5 т. Т. 2. Л.: «Художественная литература», 1987",Панова В. Ф. Собр. соч.: В 5 т. Т. 2,«Художественная литература»,1987.0,книга,ПК письменных текстов,none,89690
14,post1950/fiction_mem/panteleev_ai/masha,А. И. Пантелеев,муж,1908.0,Наша Маша,1966,публицистика | нехудожественная,нежанровая проза,"дневник, записные книжки",,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,очень большая,"Пантелеев А. И. Наша Маша: Книга для родителей // Собр. соч.: В 4 т. Т. 4. Л.: «Детская литература», 1984",Собр. соч.: В 4 т. Т. 4,«Детская литература»,1984.0,книга,ПК письменных текстов,none,80356
15,post1950/fiction_mem/proshkin/mexanika,Евгений Прошкин,муж,1970.0,Механика вечности,2001,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Е. Прошкин. Механика вечности. ― М.: Эксмо, 2001",Е. Прошкин. Механика вечности,ЭКСМО,2001.0,книга,ПК письменных текстов,none,86806
16,post1950/fiction_mem/trifonov/vremya_i_mesto,Ю. В. Трифонов,муж,1925.0,Время и место,1980,художественная,документальная проза,роман,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,очень большая,"Трифонов Ю. В. Собр. соч.: В 4-х томах. Том четвертый. М., «Художественная литература», 1987",Трифонов Ю. В. Собр. соч.: В 4-х томах. Том четвертый,«Художественная литература»,1987.0,книга,ПК письменных текстов,none,82368
17,post1950/forum/eva_ru/56/56,,,,Наши дети: Дошколята и младшие школьники (форум),2005,электронная коммуникация | нехудожественная,,форум,частная жизнь,,нейтральный,н-возраст,н-уровень,средняя,http://www.eva.ru/static/forums/,Форум на eva.ru,,2005.0,электронный текст,ПК электронной коммуникации,none,84364
18,post1950/forum/eva_ru/80/80,,,,"Красота, здоровье, отдых: Медицина и здоровье (форум)",2005,электронная коммуникация | нехудожественная,,форум,частная жизнь,,нейтральный,н-возраст,н-уровень,средняя,http://www.eva.ru/static/forums/,Форум на eva.ru,,2005.0,электронный текст,ПК электронной коммуникации,none,88058
19,post1950/minor_publ/eksmo/dontsova/dollars,Дарья Донцова,жен,1952.0,Доллары царя Гороха,2004,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,очень большая,"Дарья Донцова. Доллары царя Гороха. - М.: Эксмо, 2004",Дарья Донцова. Доллары царя Гороха,ЭКСМО,2004.0,книга,ПК письменных текстов,none,80936
20,post1950/minor_publ/eksmo/tronina/rusalka,Татьяна Тронина,жен,,Русалка для интимных встреч,2004,художественная,любовная история,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,очень большая,"Татьяна Тронина. Русалка для интимных встреч. - М.: Эксмо, 2004",Татьяна Тронина. Русалка для интимных встреч,ЭКСМО,2004.0,книга,ПК письменных текстов,none,85488
21,post1950/minor_publ/eksmo/ustinova/podruga,Татьяна Устинова,жен,1968.0,Подруга особого назначения,2003,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,очень большая,"Татьяна Устинова. Подруга особого назначения. - М.: Эксмо, 2003",Татьяна Устинова. Подруга особого назначения,ЭКСМО,2003.0,книга,ПК письменных текстов,none,83232
22,post1950/nauka/art/yeremeeva/isk_zap,С. А. Еремеева,жен,,Лекции по истории искусства,1999,учебно-научная | нехудожественная,,лекция|цикл,наука и технологии|искусствоведение,,нейтральный,н-возраст,н-уровень,средняя,http://vvvasilyev.narod.ru/hist-isk/,,,,электронный текст,ПК письменных текстов,none,88617
23,post1950/nauka/psycho/zejgarnik/zejgarnik,Б. В. Зейгарник,жен,1900.0,Патопсихология,1986,учебно-научная | нехудожественная,,учебник,наука и технологии|психология,,специальный,н-возраст,н-уровень,большая,"Зейгарник Б. В. Патопсихология. М.: МГУ, 1986",Зейгарник Б. В. Патопсихология,МГУ,1986.0,книга,ПК письменных текстов,none,89644
